0,奇经八脉中既称“血海”又称“经脉之海”的是什么？,冲脉,任脉,督脉,带脉,维脉,A,A
1,与血液运行关系最为密切的脏是什么？,肝,心,脾,肺,肾,B,B
2,具有滑利关节、补益脑髓作用的是什么？,气,血,津,液,精,D,D
3,气随血脱的生理基础为什么？,气能生血,气能行血,气能摄血,血能载气,以上均非,D,E
4,治疗血虚证时配伍补气药的理论依据是什么？,气能生血,气能行血,气能摄血,血能载气,血能养气,A,A
5,“吐下之余定无完气”的理论依据为什么？,气能生津,气能行津,气能化津,气能摄津,津能载气,E,D
6,“夺血者无汗，夺汗者无血”的理论依据为什么？,气能生血,气能行血,气能生津,气能行津,津血同源,E,E
7,经络系统的组成是什么？,十二经脉、奇经八脉、经筋、皮部,经脉、络脉、经筋、皮部,经脉、别络、经筋、皮部,经脉、经别、经筋、皮部,正经、奇经、经别、皮部,B,A
8,手三阴经的走向是什么？,胸走手,手走头,头走足,足走腹,腹走头,A,A
9,足三阳经的走向是什么？,胸走手,手走头,头走足,足走腹,手走胸,C,C
10,手少阳三焦经的走向是什么？,胸走手,手走头,头走足,足走腹,手走胸,B,A
11,十二经脉大多循行于哪里？,体表,分肉之间,四肢,躯干,头面,B,A
12,与足太阴经相表里的经脉是什么？,足太阳,足阳明,足少阳,手少阳,手太阳,B,C
13,手厥阴经络循行于哪里？,胆,胃,小肠,膀胱,三焦,E,E
14,足少阴经络循行于哪里？,胆,胃,大肠,小肠,膀胱,D,E
15,手厥阴心包经分布在哪个部位？,上肢内侧前缘,上肢内侧中线,上肢内侧后缘,上肢外侧前缘,上肢外侧后缘,B,A
16,足太阳经分布在哪个部位？,下肢外侧前缘,下肢外侧中线,下肢外侧后缘,上肢外侧前缘,上肢外侧后缘,C,A
17,上肢内侧后缘分布的经脉是什么？,手太阴肺经,手阳明大肠经,手厥阴心包经,手少阳三焦经,手少阴心经,E,A
18,下肢外侧中线分布的经脉是什么？,足阳明胃经,足太阴脾经,足少阳胆经,足厥阴肝经,足太阳膀胱经,C,C
19,下肢内踝上八寸以下内侧前缘分布的经脉是什么？,足太阴脾经,足阳明胃经,足少阴肾经,足太阳膀胱经,足厥阴肝经,E,C
20,少阴经头痛的特征是什么？,前额连眉棱骨痛,两侧太阳穴处痛,后头部连项痛,头痛连齿,头痛晕沉,D,C
21,腹部经脉由内而外排列的顺序是什么？,足厥阴、足少阴、足阳明、足太阳,足少阴、足阳明、足太阳、足太阴,足阳明、足少阴、足太阳、足厥阴,足太阴、足阳明、足少阴、足厥阴,足少阴、足阳明、足太阴、足厥阴,E,E
22,足阳明胃经在何处交于何经？,在食指端交手阳明大肠经,在目内眦交足少阳胆经,在足大趾交足厥阴肝经,在足大趾交足太阴脾经,在足小趾交足少阴肾经,D,A
23,被称为“一源而三歧”的经脉是什么？,督、任、冲,督、冲、带,任、冲、带,督、冲、阳维,带、阳维、阴维,A,A
24,循行于上肢外侧中线的经脉是什么？,手少阴心经,手厥阴心包经,手太阳小肠经,手少阳三焦经,手太阴肺经,D,C
25,具有“离、合、出、入”循行特点的是什么？,十二经脉,奇经八脉,十二经筋,十五别络,十二经别,E,E
26,具有约束骨骼，主司关节运动作用的是什么？,十二经脉,奇经八脉,十二经筋,十五别络,十二经别,C,C
27,加强表里两经在体表联系的是什么？,十五别络,十二经脉,十二经别,十二经筋,奇经八脉,A,C
28,十五别络的组成是什么？,十二经脉别络加上督、冲、任三脉的别络,十二经脉别络加上脾、胃大络和冲脉别络,十二经脉别络加上脾之大络和督脉、任脉的别络,十二经脉别络加上胃之大络和督脉、冲脉的别络,以上都不是,C,A
29,风邪致病具有发病急、变化快的特点，主要与其哪种性质相关？,风为阳邪,风性轻扬,风性善行,风性数变,风性主动,D,C
30,具有“收引”特性的邪气是什么？,风,寒,湿,燥,火,B,B
31,具有“易夹湿”特性的邪气为？,风,寒,暑,湿,燥,C,D
32,易耗气伤津的邪气为？,风,寒,暑,湿,燥,C,C
33,易袭阴位的邪气是？,风,寒,暑,湿,燥,D,B
34,易于伤肺的邪气是？,风,暑,湿,燥,寒,D,D
35,易于生风的邪气是？,风,寒,湿,燥,火,E,E
36,其性开泄的邪气是？,风,寒,湿,燥,火,A,C
37,易于引起出血的邪气是？,风,暑,湿,燥,火,E,D
38,六淫邪气侵犯人体最易引起疼痛的邪气是？,风,燥,湿,寒,火,D,A
39,六淫邪气中纯属外邪的是？,风,寒,暑,湿,火,C,A
40,六淫邪气致病出现关节疼痛，游走不定者与哪个邪气关系密切？,风,暑,湿,燥,寒,A,A
41,六淫邪气中具有明显季节性的是？,风,寒,暑,湿,火,C,C
42,最易引起疮疡的邪气是？,风,寒,湿,燥,火,E,E
43,湿邪致病，缠绵难愈是因为？,湿为阴邪，易阻遏气机,湿为阴邪，伤人阳气,湿性重浊，不易祛除,湿性黏滞，不易祛除,湿性趋下，为病缠绵,D,E
44,致病后引起人体分泌物、排泄物秽浊不清的邪气是？,风,寒,暑,湿,火,D,D
45,致病后可导致肢体屈伸不利，头身疼痛的邪气是？,风,寒,湿,燥,火,B,C
46,致病后可导致肢体困重，头重如裹的邪气是？,风,寒,湿,燥,火,C,C
47,下列哪一项为暑、燥、火三邪的共同致病特点？,开泄,伤津,耗气,动血,生风,B,B
48,风邪的致病特点是？,黏滞,凝滞,升散,数变,炎热,D,C
49,寒邪的致病特点是？,开泄,凝滞,黏滞,重浊,善行,B,B
50,暑邪的致病特点为？,开泄,黏滞,收引,升散,趋下,D,D
51,湿邪的致病特点为？,善行,凝滞,炎热,重浊,生风,D,D
52,火热邪气的致病特点是？,炎上,开泄,黏滞,凝滞,升散,A,E
53,被称作“百病之长”的邪气是？,风,暑,湿,燥,寒,A,E
54,致病后可见于咳或痰少而黏，不易咯出，或痰中带血的邪气是？,风,暑,湿,燥,寒,D,D
55,暑邪伤人见气短、乏力的表现，是由于？,暑为阳邪，其性炎热,暑邪伤人，损伤脾胃,暑易夹湿，气机不畅,暑邪伤人，损伤津液,暑性升散，最易耗气,E,E
56,疠气与六淫邪气最主要的区别是？,发病与季节有关,发病与地区有关,病情重笃,发病急骤,传染性强,E,E
57,七情致病影响脏腑气机，下述哪项是错误的？,怒则气上,喜则气缓,悲则气消,思则气结,恐则气乱,E,B
58,七情致病最易损伤哪几个脏？,心肝肾,肺脾肾,肝脾肾,心肺脾,心肝脾,E,A
59,七情影响脏腑气机，怒则？,气上,气下,气消,气结,气缓,A,A
60,七情影响脏腑气机，思则？,气上,气下,气结,气缓,气乱,C,C
61,七情影响脏腑气机，喜则？,气上,气下,气结,气缓,气消,D,A
62,七情影响脏腑气机，悲则？,气上,气下,气结,气乱,气消,E,A
63,七情影响脏腑气机，恐则？,气上,气下,气结,气乱,气消,B,B
64,“通调水道”依赖于肺的哪项功能？,主一身之气,司呼吸之气,朝百脉,主治节,主宣发、肃降,E,D
65,可引起二便失禁、骨酸痿软、遗精等表现的情志异常是？,过度悲伤,过度愤怒,突然受惊,喜乐过度,恐惧过度,E,D
66,饮食五味失宜，引起“脉凝泣而变色”的是？,多食咸,多食酸,多食苦,多食甘,多食辛,A,A
67,饮食五味偏嗜，引起“骨痛而发落”的原因是？,多食咸,多食苦,多食酸,多食甘,多食辛,D,A
68,饮食五味偏嗜，引起“皮槁而毛拔”的原因是？,多食咸,多食苦,多食酸,多食辛,多食甘,B,A
69,劳力过度，则损伤？,气,血,津,液,精,A,B
70,劳神过度易伤？,心肝,肝肾,脾肾,心脾,脾肺,D,A
71,房劳过度耗伤？,心神,肝血,肺阴,脾气,肾精,E,E
72,饮在胸胁，咳逆引痛者称为？,痰饮,支饮,悬饮,溢饮,留饮,C,B
73,饮在肠间，沥沥有声者称为？,痰饮,悬饮,支饮,溢饮,积饮,A,B
74,痰停于哪个部位可出现眩晕、昏冒？,心,肺,头,咽,胃,C,B
75,瘀血的病症特点，哪种说法不够准确？,刺痛,胀痛,出血,瘀斑,痞块,B,B
