0,黄连解毒汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,B,B
1,银翘散的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,E,B
2,白虎汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,A,A
3,沙参麦冬汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,C,C
4,补中益气汤的功用是,辛寒清气泻火,苦寒直折火热,甘寒清热育阴,甘温益气除热,辛凉解表透热,D,E
5,心胸烦热，口渴面赤，口舌生疮者，治疗应选用,玉女煎,导赤散,六一散,黄连解毒汤,竹叶石膏汤,B,B
6,小便短赤，溲时热涩刺痛者，治疗应选用,玉女煎,导赤散,六一散,黄连解毒汤,竹叶石膏汤,B,B
7,生脉散的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,E,E
8,四神丸的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,B,B
9,当归六黄汤的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,D,E
10,真人养脏汤的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,A,A
11,牡蛎散的功用是,涩肠固脱，益气养血,温肾暖脾，涩肠止泻,益气固表，育阴除烦,滋阴泻火，固表止汗,益气生津，敛阴止汗,C,A
12,治疗前列腺炎肾阳不足证，应首选,金锁固精丸,济生肾气丸,真武汤,附桂八味丸,调元肾气丸,A,C
13,治疗前列腺增生，肾阳不足，气化无权证，应首选,金锁固精丸,济生肾气丸,真武汤,附桂八味丸,调元肾气丸,B,E
14,龟鹿二仙膏之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,E,E
15,生脉散之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,C,E
16,归脾汤之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,A,E
17,黄芪桂枝五物汤之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,D,E
18,炙甘草汤之主要功用为,益气生血,滋阴养血,双补气阴,温阳益气,双补阴阳,B,E
19,五皮饮的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,D,E
20,猪苓汤的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,C,E
21,真武汤的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,B,B
22,防己黄芪汤的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,A,E
23,六一散的功用是,益气利水,温阳利水,滋阴利水,行气利水,清热利水,E,E
24,在补中益气汤的配伍中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,C,B
25,在痛泻要方的加减运用中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,D,B
26,在大补阴丸方的加减运用中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,E,B
27,在小柴胡汤的配伍中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,A,B
28,在逍遥散的配伍中,柴胡使用宜大剂量,柴胡使用宜中等剂量,柴胡使用宜小剂量,柴胡不宜使用,柴胡应禁用,B,B
29,桑螵蛸散的功用涉及,补益肺阴,温补肾阳,健脾益气,宁心安神,滋阴柔肝,D,E
