0,感冒病证多发季节,春夏,夏秋,秋冬,冬春,四季,D,A
1,导致感冒的主因是,风邪,寒邪,暑邪,燥邪,湿邪,A,A
2,感冒的病机以何为主,肺失宣降,肺气失宣,卫表不和,营卫不和,肺卫不固,C,C
3,下列哪项不是时行感冒的特点,为非时之气夹时行病毒伤人,全身症状明显,可化热入里，变生他病,相互传染，呈流行性,发病季节性强,E,E
4,时行感冒与感冒风热证的区别点，关键在于,恶寒的轻与重,发热的轻与重,咽喉肿痛与否,有无传染性,脉数与否,D,E
5,感冒的病程是,1～3天,3—5天,3—7天,7一10天,长短不定,C,C
6,患者张某，男性，42岁，发热恶寒，肢节瘦痛，头痛，鼻塞声重，咳嗽轻微，咯吐白稀痰，苔薄白，脉浮。临床上最可能诊断,风寒感冒,风热感冒,时行感冒,气虚感冒,阴虚感冒,A,A
7,患者，男，27岁。恶寒重，发热轻，头痛，鼻塞流清涕，周身疫楚疼痛，舌苔薄白而润，脉浮紧。治疗应首选,三拗汤,藿香正气散,小青龙汤,荆防败毒散,新加香薷饮,D,E
8,患者李某，年轻女性，身热，微恶风寒，头昏，少汗，口渴咽干，心烦，干咳少痰，舌红苔少，脉细数。治法宜,辛温解表,辛凉解表,清暑祛湿解表,益气解表,滋阴解表,E,E
9,患儿发热，头痛，鼻塞，流脓涕，咳嗽，喷嚏，咽红，Vl干而渴，舌红苔薄白，脉浮数。其治法是,疏风肃肺,疏风宣肺,辛凉解表,辛温解表,清暑解表,C,C
10,患者钱某，女性，38岁，身热，汗少，肢体瘦重，头昏重胀一心烦口黏，苔薄黄腻，脉濡数。治宜选用,荆防败毒散,藿香正气散,玉屏风散,新加香薷饮,参苏饮,D,E
11,一老年男性，恶寒重，发热，无汗，身倦，咳嗽，咯痰无力，苔淡白，脉浮无力。治宜选用,荆防败毒散,藿香正气散,玉屏风散,新加香薷饮,参苏饮,E,A
12,男性，18岁。昨天淋雨后出现恶寒，发热，无汗，头痛，四肢疫痛，流大量清涕，咳嗽，咯吐白稀痰，舌苔薄自润，脉浮紧。,痹证,感冒,咳嗽,头痛,鼻渊,B,B
13,治法宜,辛温解表,辛凉解表,清暑解表,益气解表,滋阴解表,A,B
14,方宜选用,桂枝汤,芎芷石膏汤,银翘散,参苏饮,荆防败毒散,E,E
15,患者女性，23岁。身热恶风，汗出不畅，咳嗽咯吐黄黏痰，咽喉肿痛，口渴，舌苔微黄，脉浮数。,暑湿证,风寒证,风热证,气虚感冒,阴虚感冒,C,C
16,治法宜,辛凉解表,辛温解表,祛暑解表,滋阴解表,益气解表,A,A
17,方宜选用,桑菊饮,香薷饮,葳蕤汤,银翘散,止嗽散,D,D
18,男性，43岁。身热，微恶风，汗少，肢体疫重，头昏重胀而痛，心烦口渴，胸闷恶心，小便短赤，舌苔薄黄腻，脉濡数。,感冒风寒,感冒风热,感冒暑湿,时行感冒,体虚感冒,C,D
19,治法宜,清热利尿,清热祛湿,清暑利尿,清暑化湿解表,清热解表利尿,D,E
20,方药宜选用,藿香正气散,银翘散,新加香薷饮,清暑益气汤,竹叶石膏汤,C,B
21,若暑热偏盛者，酌加,黄连,藿香,白豆蔻,六一散,黄豆卷,A,A
22,若里湿偏重者，可加,黄连,苍术,赤苓,银花,藿香,B,C
23,下列哪味鲜药不可用于治疗此病,鲜藿香,鲜薄荷,鲜荷叶,鲜芦根,鲜菊花,E,E
24,外感咳嗽属于,邪实正虚,邪实,正虚,邪实正不虚,邪不实正虚,B,A
25,治疗咳嗽，除以治肺为主外，还应注意治,肝、脾、肾,心、肝、肾,心、脾、肾,心、肝、脾,肝、胃、肾,A,A
26,外感咳嗽与内伤咳嗽，下列哪项无鉴别诊断意义,感邪的不同,起病的缓急,病程的长短,属实属虚的不同,咳痰的多少,E,E
27,咳嗽初起，最易“闭门留寇”的是哪类药,苦寒药,温补药,收涩药,镇咳药,通下药,C,C
28,患者女性，25岁。咳嗽少痰，鼻干咽燥，喉痒时连。声作呛，头痛微寒，身热，舌苔薄黄，其治法宜,养阴清肺，化痰止咳,清润肺燥，化痰止咳,散寒宣肺，润燥止咳,疏风清肺，润燥止咳,清肺泻肝，化痰止咳,D,C
29,某患者系肺虚久咳病人，兼有倦怠乏力之证，医生用六君子汤治疗后好转。此法符合中医哪种治则,急则治其标，缓则治其本,益火消阴,开通表里,通因通用,虚补其母,E,A
30,咳嗽气粗，或喉中有痰声，痰多质黏腻或黄稠，咳吐不爽，或有热腥味，舌质红，舌苔黄腻，脉滑数。辨证为,咳嗽之肺阴亏耗证,咳嗽之风燥伤肺证,咳嗽之痰热郁肺证,咳嗽之痰湿蕴肺证,咳嗽之肝火犯肺证,C,C
31,患者李某，男，42岁。咳嗽1个月，迁延不愈，喉痒，咯痰不畅，仍伴鼻塞，流清涕，此时选用何方,荆防败毒散,三拗汤,三子养亲汤,清金化痰汤,止嗽散,E,E
32,患者女性，35岁。干咳无痰;咽干鼻燥，伴恶寒发热，头痛无汗，苔薄白而干，此时宜选用：,桑杏汤,清金化痰汤、,止嗽散,杏苏散,泻白散,D,A
